iter	Passed	Remaining
0	0	30
1	0	30
2	0	30
3	1	28
4	1	28
5	1	29
6	2	28
7	2	28
8	2	27
9	3	28
10	3	28
11	3	27
12	4	27
13	4	27
14	4	26
15	5	26
16	5	26
17	5	25
18	5	25
19	6	25
20	6	24
21	6	24
22	7	24
23	7	23
24	7	23
25	8	23
26	8	23
27	9	24
28	9	24
29	10	23
30	11	24
31	11	24
32	11	23
33	12	23
34	12	23
35	12	22
36	13	22
37	13	21
38	13	21
39	14	21
40	14	20
41	14	20
42	14	19
43	15	19
44	15	18
45	15	18
46	16	18
47	16	17
48	16	17
49	17	17
50	17	16
51	17	16
52	18	16
53	18	15
54	18	15
55	18	14
56	19	14
57	19	14
58	19	13
59	20	13
60	20	13
61	20	12
62	21	12
63	21	12
64	21	11
65	22	11
66	22	11
67	22	10
68	23	10
69	23	10
70	23	9
71	24	9
72	24	9
73	24	8
74	25	8
75	25	8
76	25	7
77	26	7
78	26	7
79	26	6
80	27	6
81	27	6
82	27	5
83	28	5
84	28	5
85	28	4
86	29	4
87	29	4
88	29	3
89	30	3
90	31	3
91	31	2
92	31	2
93	32	2
94	32	1
95	32	1
96	33	1
97	33	0
98	33	0
99	34	0
